Date,l_gdp_obs,dla_cpi_obs,rs_obs,dla_gdp_obs
1998-07-01,9.471380683481527,2.3831634628908915,5.53,5.007021636698994
1998-10-01,9.487343122925669,2.218105446747032,4.86,6.384975777656621
1999-01-01,9.496691559192968,1.7483622699543844,4.73,3.739374506919546
1999-04-01,9.505000540782955,1.894919760792746,4.75,3.3235926359949985
1999-07-01,9.518177950631529,2.1092719286023964,5.09,5.270963939429407
1999-10-01,9.534450801041515,2.248460108172168,5.31,6.509140163994687
2000-01-01,9.538067337082763,2.6080708766073712,5.68,1.446614416499159
2000-04-01,9.556119167917695,2.515920104302083,6.27,7.220732333972535
2000-07-01,9.557137692418504,2.6475551703576627,6.52,0.407409800323677
2000-10-01,9.563093636171354,2.411626926937771,6.47,2.3823775011400983
2001-01-01,9.559806393964244,2.903100677161774,5.59,-1.3148968828438967
2001-04-01,9.56603383441949,2.453225645355772,4.33,2.490976182098592
2001-07-01,9.562017849354623,2.7211281727325343,3.5,-1.606394025947111
2001-10-01,9.56476478536976,2.634650571191699,2.13,1.0987744060550142
2002-01-01,9.573092810474941,2.1922398208467087,1.73,3.3312100420722857
2002-04-01,9.57919681921696,2.0413431221872003,1.75,2.441603496807687
2002-07-01,9.583254739789961,2.100106154044923,1.74,1.6231682292001892
2002-10-01,9.584493675565085,1.8098254490535481,1.44,0.4955743100495624
2003-01-01,9.589742095081276,1.3198034351987076,1.25,2.0993678064762378
2003-04-01,9.598564369301773,0.6914686862366182,1.25,3.5289096881989224
2003-07-01,9.615058534523289,1.5881294366199228,1.02,6.597666088606502
2003-10-01,9.626600338711972,1.0319017987011847,1.0,4.616721675473201
2004-01-01,9.63224953250028,1.9184393195995852,1.0,2.259677515323233
2004-04-01,9.639971124583127,2.5212680571424784,1.01,3.088636833138736
2004-07-01,9.649407875906267,1.6964174931260345,1.43,3.774700529255881
2004-10-01,9.659560768289149,2.428333885779921,1.95,4.061156953152789
2005-01-01,9.6705903385283,2.4798516704201745,2.47,4.411828095660297
2005-04-01,9.675507323330391,1.8663159930998319,2.94,1.9667939208368068
2005-07-01,9.683314584666752,1.3289081863753438,3.46,3.122904534544091
2005-10-01,9.688851459952405,2.642668329128739,3.98,2.2147501142612214
2006-01-01,9.702215565223149,2.4957422525329065,4.46,5.34564210829771
2006-04-01,9.704804879646929,3.2601196925874376,4.91,1.0357257695119415
2006-07-01,9.706298013035628,2.717573187440081,5.25,0.5972533554796655
2006-10-01,9.714860155657291,2.0569268674510255,5.25,3.4248570486653307
2007-01-01,9.717862545353286,2.3373474937130823,5.26,1.2009558783979912
2007-04-01,9.72396008862655,1.937410287442276,5.25,2.4390173093053136
2007-07-01,9.729705430759642,2.0569113378812176,5.07,2.298136853237054
2007-10-01,9.735967904969915,2.805214147675983,4.5,2.504989684108949
2008-01-01,9.731690419198387,2.639939459361429,3.18,-1.7109943086111912
2008-04-01,9.737627754428782,1.7342037718673708,2.09,2.3749340921582984
2008-07-01,9.732361096102682,2.5669529126112423,1.94,-2.1066633304400284
2008-10-01,9.710230419694318,0.9786637818653077,0.51,-8.852270563345854
2009-01-01,9.69881608687728,1.6747822867245077,0.18,-4.5657331268152745
2009-04-01,9.69702288214957,2.033418316158375,0.18,-0.717281891083843
2009-07-01,9.70053258343968,1.1914246367918935,0.16,1.4038805160438983
2009-10-01,9.711285342461467,2.040695589956698,0.12,4.301103608715096
2010-01-01,9.716115262234561,0.0598098320324425,0.13,1.9319679092376418
2010-04-01,9.725747484675768,0.5016878285232451,0.19,3.85288897648266
2010-07-01,9.733428502939365,0.9671862093036054,0.19,3.0724073054386736
2010-10-01,9.738665973975678,1.044102162810745,0.19,2.0949884145252895
2011-01-01,9.736287093524396,1.8865247517229733,0.16,-0.9515521805127491
2011-04-01,9.743031200344934,1.8651804081986967,0.09,2.697642728215044
2011-07-01,9.742808106621162,2.725749713233938,0.08,-0.08923748950877552
2011-10-01,9.753977753808456,2.1278244004758307,0.07,4.467858874917852
2012-01-01,9.762327132747114,2.097278392979973,0.1,3.3397515754629126
2012-04-01,9.76677969170253,1.960732508976193,0.15,1.7810235821663412
2012-07-01,9.768223230685294,1.8035535780004608,0.14,0.5774155931057123
2012-10-01,9.769378850443415,1.8594327392698062,0.16,0.462247903248425
2013-01-01,9.779193365264087,2.019444200898235,0.14,3.925805928268744
2013-04-01,9.781867791051246,0.9072363690737717,0.12,1.0697703148636606
2013-07-01,9.79034684955934,2.132818021162919,0.08,3.3916234032375314
2013-10-01,9.799021081545682,1.773234516408806,0.09,3.4696927945368827
2014-01-01,9.795568210316635,1.5453695301093973,0.07,-1.3811484916189443
2014-04-01,9.80840184753545,2.063601179263941,0.09,5.133454887526057
2014-07-01,9.82048087330215,1.652307992402413,0.09,4.83161030668029
2014-10-01,9.825526011066415,1.5887087113721776,0.1,2.0180551057059404
2015-01-01,9.834491109614227,1.392663246420156,0.11,3.5860394191246314
2015-04-01,9.840664891801103,2.411900780933962,0.12,2.4695128747502793
2015-07-01,9.844660688783856,1.981027495437715,0.14,1.5983187931013276
2015-10-01,9.846504417451609,2.1121662597895607,0.16,0.7374914671011368
2016-01-01,9.852283727830256,2.081516979576037,0.36,2.3117241514590603
2016-04-01,9.855488825098007,2.6264217722307137,0.37,1.282038907100258
